Year,Time Period ,CV of EVI,Group ID,Median Group Size,Maximum Group Size,Minimum Group Size,Range Group Size,Median Number of AdultsÊ,Maximum Number of AdultsÊ,Minimum Number of AdultsÊ,Range of AdultsÊ,Median Number of SubadultsÊ,Median Number of Males,Maximum Number of Males,Maximum Number of Males2,Range of Males,Median Number of Adult Males,Median Number of Subadult Males,Median Number of Females,Maximum Number of Females,Maximum Number of Females3,Range of Females,Median Number of Adult Females,Median Number of Subadult Females
2007,Year,37.15,1,1,4,4,3,1,1,0,1,0,1,2,1,1,1,0,0,2,0,2,0,0
2007,Year,37.15,2,6,4,4,2,2.5,5,1,4,3,3,4,2,2,1.5,1.5,3,3,3,0,1,2
2007,Year,37.15,3,4,4,4,1,3,4,3,1,1,2,3,2,1,2,0,2,2,2,0,1,1
2007,Year,37.15,4,8,4,4,2,4,5,2,3,2,2,2,0,2,1.5,0,7,7,6,1,2,2
2007,Year,37.15,5,2,4,4,3,2,1,2,1,0,1,2,1,1,1,0,1,2,0,2,1,0
2007,Green,20.43,1,1,4,4,0,1,NA,NA,NA,0,1,1,1,0,1,0,0,0,0,0,0,0
2007,Green,20.43,2,6,4,4,2,2,3,1,2,3,3,4,2,2,1,1,3,3,3,0,1,2
2007,Green,20.43,3,4,4,4,0,3,3,3,0,1,2,2,2,0,2,0,2,2,2,0,1,1
2007,Green,20.43,4,9,4,4,2,4,4,2,2,2,2,2,0,2,2,0,7,7,7,0,2,2
2007,Green,20.43,5,1,4,4,2,1,1,2,1,0,1,1,1,0,1,0,0,1,0,1,0,0
2007,Yellow,13.81,1,4,6,1,5,NA,1,1,0,0,2,2,1,1,1,1,2,2,0,2,1,0
2007,Yellow,13.81,2,6,6,5,1,4,5,3,2,1,3,3,2,1,2,2,3,3,3,0,2,1
2007,Yellow,13.81,3,5,5,4,1,4,4,3,1,0,3,3,2,1,2,0,2,2,2,0,2,0
2007,Yellow,13.81,4,8,8,7,1,4,5,3,2,0,2,2,1,1,1,0,6,6,6,0,3,0
2007,Yellow,13.81,5,4,4,2,2,2,2,2,0,1,2,2,1,1,1,1,2,2,1,1,1,0
2008,Year,36.39,1,5,5,4,1,1,1,1,0,1,3,3,2,1,1,1,2,2,2,0,1,0
2008,Year,36.39,2,5,7,2,5,4,5,1,4,1,2,2,0,2,2,2,3,5,2,3,2,1
2008,Year,36.39,3,4,5,4,1,3,3,3,0,0,2,3,2,1,1,0,2,2,2,0,2,0
2008,Year,36.39,4,8,9,7,2,4,4,4,0,1,2,2,1,1,1,1,6,7,6,1,3,0
2008,Year,36.39,5,3,4,3,1,2,2,2,0,0,1,2,1,1,1,0,2,2,2,0,1,0
2008,Green,19.39,1,4,4,4,0,1,1,1,0,0.5,2,2,2,0,NA,1,2,2,2,0,1,0
2008,Green,19.39,2,5,5,5,0,4,4,4,0,1,2,2,2,0,2,2,3,3,3,0,2,1
2008,Green,19.39,3,4,4,4,0,3,3,3,0,0,2,2,2,0,1,0,2,2,2,0,2,0
2008,Green,19.39,4,8,8,7,1,4,4,4,0,1,2,2,1,1,1,1,6,6,6,0,3,0
2008,Green,19.39,5,3,4,3,1,2,2,2,0,0,1,2,1,1,1,0,2,2,2,0,1,0
2008,Yellow,12.55,1,5,5,5,0,1,1,1,0,1,3,3,3,0,1,1,2,2,2,0,1,0.5
2008,Yellow,12.55,2,5,7,2,5,4,5,1,4,0,2,2,0,2,2,2,3,5,2,3,2,0
2008,Yellow,12.55,3,5,5,4,1,3,3,3,0,0,3,3,2,1,1,0,2,2,2,0,2,0
2008,Yellow,12.55,4,8.5,9,8,1,4,4,4,0,1.5,2,2,2,0,1,1,6.5,7,6,1,3,0.5
2008,Yellow,12.55,5,3.5,4,3,1,2,2,2,0,0,1.5,2,1,1,1,0,2,2,2,0,1,0
2010,Year,30.44,1,2,3,1,2,1.5,2,1,1,0.5,0.5,1,0,1,0.5,0,1.5,2,1,1,1,0.5
2010,Year,30.44,2,4.5,7,1,6,2.5,3,1,2,0,2,3,0,3,1,1,2.5,4,1,3,1.5,0
2010,Year,30.44,3,1,7,1,6,1,3,1,2,0,1,4,0,4,1,0,1,3,0,3,1,0
2010,Year,30.44,4,1,5,1,4,1,4,1,3,0,1,2,0,2,1,0,1,3,0,3,1,0
